month,year,department,cost_center,budget_revenue,actual_revenue,forecast_revenue,budget_expense,actual_expense,forecast_expense																																																																																																																																																																																																																																																																																																																																																								Column344	Column345	Column346	Column347	Column348	Column349	Column350	Column351
Mar,2023,Customer Success,Support,114000,113000,116000,91000,95000,93000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,Customer Success,Onboarding,97000,95000,99000,86000,90000,88000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,Product,Product Management,0,0,0,144000,150000,146000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,Product,UX,0,0,0,92000,95000,93000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,Engineering,Backend,0,0,0,224000,233000,229000																																																																																																																																																																																																																																																																																																																																																														
Mar,2023,Engineering,Frontend,0,0,0,184000,191000,187000																																																																																																																																																																																																																																																																																																																																																														
Mar,2023,Engineering,DevOps,0,0,0,164000,170000,167000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,G&A,HR,0,0,0,71000,74000,72000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,G&A,Finance,0,0,0,86000,90000,88000																																																																																																																																																																																																																																																																																																																																																															
Mar,2023,G&A,Legal,0,0,0,61000,64000,62000		

Apr,	2023,	Sales,	Field Sales,	445000,	438000,	450000,	186000,	195000,	190000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Sales,	Inside Sales,	325000,	320000,	330000,	124000,	128000,	126000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Sales,	Sales Ops,	94000,	92000,	95000,	61500,	65500,	62500																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Marketing,	Digital,	157000,	159000,	162000,	134000,	138500,	136000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Marketing,	Events,	80000,	77000,	81000,	95000,	100500,	99000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Marketing,	Brand,	63000,	61500,	64000,	71500,	74500,	72500																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Customer Success,	Support,	115000,	112000,	117000,	91500,	95500,	93500																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Customer Success,	Onboarding,	98000,	94500,	99500,	86500,	90500,	88500																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Product,	Product Management,	0,	0,	0,	146000,	151000,	148000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Product,	UX,	0,	0,	0,	93000,	95500,	93500																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Engineering,	Backend,	0,	0,	0,	226000,	234000,	231000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Engineering,	Frontend,	0,	0,	0,	186000,	192000,	189000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	Engineering,	DevOps,	0,	0,	0,	166000,	171000,	168000																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	G&A,	HR,	0,	0,	0,	71500,	74500,	72500																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	G&A,	Finance,	0,	0,	0,	86500,	90500,	88500																																																																																																																																																																																																																																																																																																																																																															
Apr,	2023,	G&A,	Legal,	0,	0,	0,	61500,	64500,	62500	

May,	2023,	Sales,	Field Sales,	450000,	455000,	460000,	188000,	198000,	192000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Sales,	Inside Sales,	330000,	335000,	338000,	125000,	129000,	127000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Sales,	Sales Ops,	95000,	96000,	96000,	62000,	66000,	63000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Marketing,	Digital,	160000,	168000,	165000,	135000,	140000,	137000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Marketing,	Events,	81000,	80000,	82000,	95500,	101000,	99500																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Marketing,	Brand,	64000,	63000,	65000,	72000,	75000,	73000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Customer Success,	Support,	116000,	118000,	119000,	92000,	96000,	94000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Customer Success,	Onboarding,	99000,	100000,	100500,	87000,	91000,	89000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Product,	Product Management,	0,	0,	0,	148000,	153000,	150000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Product,	UX,	0,	0,	0,	94000,	96000,	94500																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Engineering,	Backend,	0,	0,	0,	228000,	236000,	233000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Engineering,	Frontend,	0,	0,	0,	188000,	194000,	191000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	Engineering,	DevOps,	0,	0,	0,	168000,	173000,	170000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	G&A,	HR,	0,	0,	0,	72000,	75000,	73000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	G&A,	Finance,	0,	0,	0,	87000,	91000,	89000																																																																																																																																																																																																																																																																																																																																																															
May,	2023,	G&A,	Legal,	0,	0,	0,	62000,	65000,	63000			

Jun,	2023,	Sales,	Field Sales,	455000,	448000,	465000,	190000,	199000,	194000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Sales,	Inside Sales,	335000,	330000,	340000,	126000,	130000,	128000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Sales,	Sales Ops,	96000,	94000,	97000,	62500,	66500,	63500																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Marketing,	Digital,	162000,	161000,	167000,	136000,	141000,	138000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Marketing,	Events,	82000,	81000,	83000,	96000,	101500,	100000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Marketing,	Brand,	65000,	64000,	66000,	72500,	75500,	73500																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Customer Success,	Support,	118000,	116000,	120000,	92500,	96500,	94500																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Customer Success,	Onboarding,	100000,	99000,	101000,	87500,	91500,	89500																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Product,	Product Management,	0,	0,	0,	150000,	154000,	152000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Product,	UX,	0,	0,	0,	95000,	96500,	95500																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Engineering,	Backend,	0,	0,	0,	230000,	238000,	235000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Engineering,	Frontend,	0,	0,	0,	190000,	196000,	193000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	Engineering,	DevOps,	0,	0,	0,	170000,	175000,	172000																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	G&A,	HR,	0,	0,	0,	72500,	75500,	73500																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	G&A,	Finance,	0,	0,	0,	87500,	91500,	89500																																																																																																																																																																																																																																																																																																																																																															
Jun,	2023,	G&A,	Legal,	0,	0,	0,	62500,	65500,	63500		

Jul,	2023,	Sales,	Field Sales,	460000,	472000,	470000,	192000,	202000,	196000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Sales,	Inside Sales,	340000,	345000,	345000,	127000,	131000,	129000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Sales,	Sales Ops,	97000,	98000,	98000,	63000,	67000,	64000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Marketing,	Digital,	165000,	170000,	170000,	137000,	142000,	139000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Marketing,	Events,	83000,	82000,	84000,	96500,	102000,	100500																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Marketing,	Brand,	66000,	65000,	67000,	73000,	76000,	74000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Customer Success,	Support,	120000,	122000,	122000,	93000,	97000,	95000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Customer Success,	Onboarding,	101000,	102000,	102500,	88000,	92000,	90000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Product,	Product Management,	0,	0,	0,	152000,	156000,	154000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Product,	UX,	0,	0,	0,	96000,	97500,	96500																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Engineering,	Backend,	0,	0,	0,	232000,	240000,	237000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Engineering,	Frontend,	0,	0,	0,	192000,	198000,	195000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	Engineering,	DevOps,	0,	0,	0,	172000,	177000,	174000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	G&A,	HR,	0,	0,	0,	73000,	76000,	74000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	G&A,	Finance,	0,	0,	0,	88000,	92000,	90000																																																																																																																																																																																																																																																																																																																																																															
Jul,	2023,	G&A,	Legal,	0,	0,	0,	63000,	66000,	64000		

Aug,	2023,	Sales,	Field Sales,	465000,	460000,	475000,	194000,	203000,	198000																																																																																																																																																																																																																																																																																																																																																															
